NO;Do you teach? ;Have you incorporated Open Science into your teaching prior to attending this colloquium? ;How have you incorporated Open Science into your teaching prior to attending this colloquium? ;Given what we have discussed in this colloquium so far, how might you incorporate Open Science into your teaching in the future?;Do you supervise MSc-students, PhD-Students and/or postdoctoral researchers?;Have you incorporated Open Science into your supervision prior to attending this colloquium?;How have you incorporated Open Science into your supervision (of MSc- and PhD-students, postdocs) prior to this colloquium?;Given what we have discussed in this colloquium so far, how might you incorporate Open Science into your supervision in the future?;Have you encountered open science practices in your own formal education (i.e. undergraduate or postgraduate) experience?;Which of the following open science practices have you encountered in your own formal education (i.e. undergraduate or postgraduate) experience? - Used open-access online interactive learning resources (e.g., games, tutorials);Which of the following open science practices have you encountered in your own formal education (i.e. undergraduate or postgraduate) experience? - Read open-access literature / material (e.g. papers, textbooks);Which of the following open science practices have you encountered in your own formal education (i.e. undergraduate or postgraduate) experience? - Used open data ;Which of the following open science practices have you encountered in your own formal education (i.e. undergraduate or postgraduate) experience? - Used open code ;Which of the following open science practices have you encountered in your own formal education (i.e. undergraduate or postgraduate) experience? - Shared own data openly;Which of the following open science practices have you encountered in your own formal education (i.e. undergraduate or postgraduate) experience? - Shared own code openly ;Which of the following open science practices have you encountered in your own formal education (i.e. undergraduate or postgraduate) experience? - Published results or papers openly ;Which of the following open science practices have you encountered in your own formal education (i.e. undergraduate or postgraduate) experience? - Been taught principles of research transparency ;Which of the following open science practices have you encountered in your own formal education (i.e. undergraduate or postgraduate) experience? - Been taught principles of research reproducibility;Which of the following open science practices have you encountered in your own formal education (i.e. undergraduate or postgraduate) experience? - Open peer review;Which of the following open science practices have you encountered in your own formal education (i.e. undergraduate or postgraduate) experience? - Outreach/ science communication;Which of the following open science practices have you encountered in your own formal education (i.e. undergraduate or postgraduate) experience? - None of the above;Are there any open science practices that you have encountered in your education that are not listed above? If so, please describe. ;E-post;Samlet status - Ny;Samlet status - Distribuert;Samlet status - Noen svar;Samlet status - Gjennomført;Samlet status - Frafalt
17;Yes;Yes;<p>I mainly teach information literacy, and have open science as a part of this. Mainly through masters- and phd seminars, but also seminars for research groups.</p>;<p>With more detail on how this is relevant and already well incorporated into the ecological society!</p>;Yes;Yes;<p>I require my master students to write a DMP, and encourage them to think about preparing the data for sharing. We also discuss possibilities for OA publishing of articles when they finish their msc.</p>;<p>I will have to look into the DwC standard (I am familiar with Dublin Core) to see if this can be a more useful metadata standard. And I am more inspired to continue spreading this way of thinking in my research group.</p>;No;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;1;0
6;No;;;<p>Yes, I intend to organise workshops in my research institute and will definately implement some newly learned aspects of open sciense into the workshops.</p>;No;;;<p>My task is to support all researchers in my institute to manage their data with the goal of publishing it with FAIR principles. I do not supevise anybody in their research, but I do supervise the data management part of theri research project.</p>;No;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;1;0
99;No;;;"<p>Make students aware of the fact that research needs to be open and transparent in order to reproduce it and asses its validity. This way research can inform policy. Next to this there is need to teach students how to go&nbsp;about good data management. Which databases exist, what tools are available, etc.</p>";No;;;"<p>Come up with a clear data management plan and workflow for analysis before the start of a project. Make sure to use standardized methods and units that are most commonly used in the area of research.&nbsp;Have the students follow data management course or workshop to make sure they learn how to produce fair data.</p>";Yes;1;1;0;1;0;0;1;0;0;0;0;0;;;0;0;0;1;0
59;No;;;"<p>I don&#39;t teach students, but I do give presentations to a variety of stakeholders. I may start refering to diffrent aspects of open science in future talks aiming at learning the stakeholders why they need that science is based on&nbsp;open science.</p>";No;;;"<p>I don&#39;t supervise students, but I give career guidance to scientists and may reccomend that they learn and use open science in order to improve their own career possibilities.</p>";No;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;1;0
103;Yes;Yes;"<p>&nbsp;open science and RDM are the main topics I teach, as a librarian&nbsp;</p>";<p>Na</p>;No;;;<p>Na</p>;No;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;1;0
94;Yes;No;;"<p>More focus on how to store data and share data and code. Focus on dissemination of e.g. master thesis to a broader audience.&nbsp;</p>";Yes;Yes;"<p>Open access publishing, data storing and sharing.&nbsp;</p>";"<p>Communicating results to a wider audience.&nbsp;</p>";Yes;0;1;1;1;1;0;1;0;0;0;1;0;;;0;0;0;1;0
62;Yes;No;;"<p>I am teaching evolutionary biology and conservation biology at all three study levels / undergraduate, graduate and PhD level. Formally, I didn&#39;t talk about importance of Open Science but through practical work and realization of the projects mostly&nbsp;sponsored by international funding organizations, they had to make the results of their projects available to the public. Of course, they mostly were not in a position to put their data into repository, except genetic data. I could inform them about the links to publicly open data bases when teaching them how to do PVA for example, which is costly and highly risky work in the countries in transition where nothing can last for a long time. Once they feel benefit from publicly available data, they will be more open to share their own data.&nbsp;</p>";Yes;No;;"<p>My students are encouraged to try to publish in highly ranked peer reviewed journals. Consequently, they will have to deposit data if they succeed &nbsp;to get positive review. Usually, it is hard because we have no so much funds to conduct&nbsp;studies that would be attractive for high ranked journals.</p>";No;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;1;0
51;No;;;<p>i dont teach</p>;Yes;No;;<p>That would be good, but will depend on the student as well</p>;No;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;1;0
26;No;;;"<p>I don&#39;t teach classes, but have some supervising of students. It makes sense to incorporate good documentation with the implication that code and procedures could be shared with others, throughout all teaching. Teachers should try to make open science the norm from the start.&nbsp;</p>";Yes;No;;<p>See earlier response.</p>;Yes;0;1;1;1;0;1;1;0;1;0;0;0;;;0;0;0;1;0
34;No;;;<p>I would run courses on open data management</p>;Yes;Yes;<p>Provided training on FAIR data principles</p>;<p>Probably carry on as I have</p>;No;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;1;0
3;Yes;Yes;<ul><li>Refering to policies</li><li>Pointing out solutions for implementation</li></ul>;<p>As before</p>;No;;;;Yes;1;1;1;1;1;1;1;1;1;1;1;0;;;0;0;0;1;0
49;Yes;Yes;<p>1. Making data and codes available for students to practice on their own</p>;<p>1. Encourage students to participate more in citizen science.</p>;No;;;<p>1. Research plan should include open science methodologies.</p>;Yes;1;1;1;0;0;0;0;0;0;0;0;0;;;0;0;0;1;0
42;Yes;No;;<p>I think emphasizing or teaching like GitHub for openly sharing code would be a great step forwards (however this is also limited by time and the scope of the course, level of students, etc). Also making lectures available online would be a great step forwards</p>;No;;;<p>Teaching GitHub again and emphasizing FAIR research practices</p>;Yes;1;1;1;1;1;1;1;0;1;0;1;0;;;0;0;0;1;0
8;No;;;;Yes;Yes;<p>Register hypotheses.</p>;;Yes;0;1;0;1;1;1;1;1;1;0;0;0;;;0;0;0;1;0
24;Yes;No;;<p>Our course is based on theory and discussions of science-policy Interface, so I am a bit unsure how open science could be Incorporated into the course (we do not do any Experiments, observations or learn to Write Scientific papers, or anything similar)</p>;No;;;<p>I would suggest to publish in open Access journals, and I would help my master student to develop an open science protocol to publish his/her code, data and article</p>;Yes;1;1;0;1;1;1;1;1;1;0;1;0;;;0;0;0;1;0
32;No;;;<p>Not relevant</p>;Yes;Yes;"<p>Encouraged to publish in open science&nbsp;</p>";<p>Need to explain more about it- might be needed to talk about earlier in the process</p>;No;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;1;0
27;No;;;<p>I would, and indirectly I had. If you consider teaching that open source is better than proprietary software, I already had.</p>;No;;;<p>not relevant</p>;Yes;0;1;1;1;0;1;0;0;0;0;0;0;;;0;0;0;1;0
104;Yes;Yes;<p>Reproducible code and slides added to Github repository. Lecture on Open Science principles to students in the first session of two week lecture course</p>;<p>Perhaps using open data as examples for exercises in analysis techniques.</p>;Yes;Yes;<p>Asked students to pre-register hypotheses</p>;<p>Encourage more students to pre-register and openly share data</p>;No;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;1;0
87;Yes;Yes;<p>Open science is just good science so its really the foundation for teaching students. You have to start with reproducibility (conda), replication (sampling), version control (github/gitlab), open and transparent, honest, collaboration (no blame culture, open discussion of mistakes and what we learn).</p>;"<p>Blogging, I&#39;m going to encourage my students to blog!</p>";Yes;Yes;<p>same as before.</p>;<p>same as before</p>;Yes;0;1;1;1;1;1;1;0;0;1;1;0;;;0;0;0;1;0
47;Yes;Yes;<p>Encouraging reproducible workflows with analysis and introductions to Github.</p>;"<p>Encouraging greater amount of analysis on&nbsp;open-access datasets</p>";Yes;Yes;<p>Github and efficient coding workflows.</p>;<p>Encouraging more analysis of open access datasets</p>;Yes;1;1;1;1;1;1;0;0;0;0;0;0;;;0;0;0;1;0
88;Yes;Yes;"<p>A course I run includes a lecture&nbsp;on FAIR data and some related lab exercises.</p>";<p>Include more concrete exercises and specific advice on FAIR data practice in courses. Advocate open science principles to students I supervise.</p>;Yes;Yes;<p>Suggested data publishing and open journals.</p>;<p>Advocate open science practice more broadly. The colloquium talks so far have given me a better overview of what open science is and some good reasons to advocate such practices.</p>;No;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;1;0
56;Yes;Yes;<p>Use of freely available data to practice statistical analyses</p><p>Use of freely available data in databases</p><p>Access to open access journal articles</p>;<p>Ensure that all data collected follow standard protocol that allows it to be reusable by others.</p><p>Ensure that all studies have a well developed step-by-step protocols</p><p>Ensure that specimen data available in our local museum and notes are digitised and made available on GBIF</p>;Yes;Yes;<p>Encouraging students to go for open access publishing to increase visibility of their work</p><p>To always acknowledge all sources of information they have used or cited in the work, including software</p><p>Help them to identify the benefits of Virtual Research Environment for sharing and using research data.</p>;<p>More or less upscale and broaden the ones I have already been using.</p>;Yes;0;1;1;1;1;0;1;1;1;0;1;0;;;0;0;0;1;0
22;No;;;<p>Make case examples, integrating database, statistics etc as a whole. Maybe demonstrate when and how open science is crucial.</p>;Yes;Yes;<p>Public data storage, online deposited scripts, supervision and peer review is not very distant processes.</p>;<p>Likewise</p>;No;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;1;0
11;No;;;"<p>I do not teach.&nbsp;</p>";No;;;"<p>I do not supervise&nbsp;</p>";No;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;1;0
61;Yes;Yes;"<p>Through use of shared code and apps.&nbsp;</p>";"<p>Full transparency in research projects from hypothesis design - data collection and results. Students could be asked to shared and evaluate peers hypotheses&nbsp;and study designs (similar to a registered report). Data ought to be open within weeks of collection and code shared with final report (also to be open). Assignments could also be evaluated openly.&nbsp;</p>";Yes;Yes;"<p>Open data, open code, dev tools.&nbsp;</p>";"<p>Encourage greater use of open science tools, data publications and importantly reproducible&nbsp;science through using common language reporting (Markdown) and interoperability&nbsp;(Darwin code formatting)&nbsp;</p>";No;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;1;0
30;No;;;"<p>I don&#39;t really teach</p>";No;;;"<p>I don&#39;t supervise</p>";No;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;1;0
105;No;;;;No;;;;No;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;1;0
68;No;;;"<p>I can&#39;t speak from a teacher&#39;s point of view but rather as someone who could instruct anyone interested in the practice of open-science in the future. The colloquium was very insightful and provides good directions and explanations about how to do open science properly and give more assurance to researchers to share their data without being concerned about possible mishandling, misuse or lack of time (due to uncertainty of how to do it). As I appreciate any open-source obtainable data relatable to my research I can use it as an example to try to share it in the same manner. I especially liked the idea of executable research article which Mrs Ingrid mentioned,&nbsp;because, in my opinion, it is an accelerator in one&#39;s research not having to devise the method or codes (potentially wrong) but use the existing method or script from valid research, therefore&nbsp;increasing overall reproducibility. And as it was mentioned once you learn it&nbsp;you make a habit of it, so once I learn the process and have a sort of template&nbsp;I don&#39;t think it will be as time-consuming or complex as it may seem.&nbsp;</p>";No;;;;I don't know;0;1;1;0;0;0;0;0;0;0;1;0;;;0;0;0;1;0
98;Yes;Yes;"<ul><li>Contributing to ecological classes where students are taught how to use open source programming languages such as R, this is done through programs such as Jupiter, so that are introduced in a more user friendly manner. Students are taught how to use Markdown formats and to document code in a way that makes it reusable - linking to the reproducibility crisis.</li><li>Broadly&nbsp;trying to use Open Source software solutions where possible, for example R, ImageJ, Inkscape in terms of scientific tools, but also when considering educational platforms for communication or storage, i.e. slack, google drive, over ones potentially requiring payment i.e. Dropbox.</li><li>Students from intensive field courses are encouraged to develop their final course write ups into a peer-reviewable paper that is published as a citable University Media journal, that is free to download.</li><li>In intensive field courses, students are required to keep daily journals of their lab activities, documenting methodological proccedures and decisions, to ensure write-ups have the full available set of information - and methods are transparent.&nbsp;</li><li>Have recently led the development of a manuscript outlining how ecological field courses could better integrate Open Science principles, for example in encouraging the use of registered reports, teaching students to match discipline methodological and data standards, encouraging the use of reproducible code and data management plans, the publication of course data either independantly, or as part of a course output publication. This manuscript reflects the thoughts of ECRs in how we envisage and would like higher education training to better integrate OS principles explicitly into existing opportunities.&nbsp;</li></ul>";"<ul><li>I&#39;d like to see Open Science principles be a compulsory part of early higher education in biology (sciences in general), with it&#39;s importance repeated throughout each course / year level. Specific courses need not necessarily focus on all elements of OS, but with aligned course development throughout a degree structure, could be set up to ensure students are exposed to each of the core elements; why OS is important, why data management is key, an emphasis on using Open Source education tools (and analytical tools), so classes maintain the use of a single software platform throughout a degree structure, i.e. R, rather than using different ones in each course, ensuring assignment submisions reflect OS practices, i.e. there is consideration of transparency in decision making, and code-based submissions are encouraged to consider replicability as part of the assignment marking criteria.</li><li>On a more personal level - I am keenly interested in teaching research intensive field courses, or project based courses, which try to reflect research practice already. These provide a perfect platform for integrating OS into workflows. For example, project proposals may become styled as registered reports for higher level classes, methodological protocols should be in line with discipline standards and documented in such a manner as to be reusable in future course iterations, as with the data, which should be stored in a manner that enables it to be interopable with future courses, and perhaps published as a contribution to science more formally. In these courses, specifific workshops and tutorials on how and why these OS practices should be used would be included, along with OS being an explicit part of the learning objectives (something which is often assumed, but not always explicitly stated).</li><li>Regarding supervising of students, be that at UG, or graduate level - part of the workflow would be on ensuring any research project is conducted with OS in mind. This integrates many of the points above, regarding data management, analysis and notetaking, but also would extend to elements such as if reviews are done - are they, where suitable, following evidence synthesis protocols? In getting funding for graduate students, where possible, ensuring money is sought for Open Access publication and data lodging would be prioritised, as in some cases, ECRs are hampered by existing lab practices when in comes to OS publicaitons - and they should not be penalized for decisions outside of their control.&nbsp;</li></ul>";No;;;"<ul><li>Introductory discussions for students on the importance of OS, why it&#39;s a critical part of our research projects /lab dynamics and thus why they will also be required to follow those principles.</li><li>Provide a scaffold of how we a) already adopt OS principles within the research/lab, and b) how we&#39;re adopting new principles /approaches as they develop. For example, if we already have established GitHub/R script workflows, enabling sharing of data within a research project, but later on for wider access.</li><li>Promoting the use of Open Source tools, for example R, and also providing links to supporting services, especially for those who may be new to that approach, i.e to others within the lab who use more frequently, to university R help groups, to online resources, i.e. StackOverflow etc. so they know where to seek out help.</li><li>To encourage students to develop their projects in the context of registered reports, whereby introduction, aim and methodologies are fully written out and considered prior to work commencing. In the best cases these can be submitted as such to journals which have registered reports, and at worst case, students are a solid theoritical basis for their work, and have written a substantial portion of their thesis/project at the outset. Again, support for this approach, and explanation of the benefits would be provided.</li><li>In developing reviews, students would be encouraged to adopt a systematic approach where feasible, encouraging them to think critically about publication bias, but especially in the case of meta-analysis, exposing them to the variety of publishing standards - i.e. how reproducible research is, and thus how we could better write our own projects to ensure their a) reproducible and b) able to be included in evidence synthesis approaches.&nbsp;</li><li>Students would be encouraged to think ahead as to where their data may be lodged, so that data management plans work towards formatting data in an appropriate manner to match both publisher and database requirements - i.e. simply lodging a dataset on OSF, vs integratign it into something like AusTraits or OpenTraits.</li></ul>";Yes;1;1;1;1;1;0;1;0;0;0;1;0;;;0;0;0;1;0
48;Yes;Yes;<p>While having a seminar/excercise on Species Distribution Modelling, I used GBIF data, and data collected by students during a field excercise was meant to be published on GBIF afterwards as well</p>;<p>A more thorough instruction in the FAIR principles, and a more hand-on approach to sharing/publishing by the students themselves</p>;Yes;No;;<p>It is uncertain whether I will be teaching in the future.<br />But if it the case: a more thorough introduction/incorporation of the use of Open Data, and making sure that new data will be shared</p>;No;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;1;0
64;No;;;"<p>I feel that it is important to show students about and how to use some of the available resources/platforms/software. This would be particularly helpful if you can set it up in a &#39;learning by doing&#39; situation - this can be e.g. making it a part of drop projects/assignments. This would help showcase/contextualise how to do science in a way that is more open/FAIR</p>";No;;;"<p>I think here the first step would be to ensure that the student is familiar and comfortable with the concepts/workflows that you plan on using and then to actively make it part of the &#39;norm&#39; of workflow. In the sense that it is &#39;expected&#39; that we would share and collaborate on a coding project over GitHub for example. I think also opening dialogue and talking/thinking about why we need OS and what works but maybe also potential barriers.&nbsp;</p>";Yes;0;1;0;0;1;1;0;1;1;0;1;0;;;0;0;0;1;0
89;Yes;Yes;<p>I have a lecture on citizen science in which I explain the principles of open science and how science can and should be open during all different stages of a project from coming up with research ideas to publishing.</p>;<p>I think I will start focussing on different aspects of open science more when giving lectures on other things that are not necessarily directly related to but could benefit of information about how the code of conduct could (or should) be in terms of open science.</p>;Yes;Yes;<p>By trying to teach them how they can improve the openness of their science (incl helping with showing the tools they can use to make their science more transparent and their data FAIR)</p>;<p>I might start to incorporate different tools that were discussed of which I was not aware yet (such as potentially the Living Norway R package)</p>;No;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;1;0
65;Yes;Yes;"<p>Field course - data collection stamdards, data documentation, &nbsp;data paper</p><p>&nbsp;</p><p>research practice course - data documentation&nbsp;</p>";"<p>Preregistered reports, protocols!&nbsp;</p>";Yes;Yes;<p>Data protocols, data doc</p>;<p>Enforce preregisteeing on them!</p>;No;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;1;0
54;No;;;"<p>It seems clear that people need a) more competency in terms of coding to ensure that methodologies are repeatable, b) an awareness of data structures and file organisation, c) confidence that data and code doesn&#39;t need to be perfect for sharing. At a coursework level, using&nbsp;more open data in examples, teaching about standards and why they are important. Letting them see how easily accessible and what a fantastic resource open data is. Emphasising that this IS the future and they NEED to be competent in it.&nbsp;</p>";No;;;"<p>It seems clear that people need a) more competency in terms of coding to ensure that methodologies are repeatable, b) an awareness of data structures and file organisation, c) confidence that data and code doesn&#39;t need to be perfect for sharing. I would encourage students (and others) to visit a librarian early in their projects, and make use of the services that they can offer. I would try to encourage use of open data sharing / coding (rather than just emailing documents) within a group, to lean how to do this in a safe environment. I would try to encourage more code sharing within teams, as a first step. I think having an awareness of open data from both user and creator would be useful, so having students have a component of both would be great. Using more open data in examples.&nbsp;&nbsp;</p>";Yes;1;1;1;1;0;0;0;0;0;0;0;0;;;0;0;0;1;0
77;No;;;"<p>I don&#39;t teach, but advocate open science as science done right whenever I can</p>";No;;;;Yes;0;1;1;1;1;1;1;1;1;1;1;0;;;0;0;0;1;0
